Value,Disaggregation combinations using this value,Number of indicators
Manlio Fabio Altamirano,15,2
Manuel Benavides,15,2
Manuel Doblado,15,2
Manzanillo,15,2
Maní,15,2
Mapastepec,15,2
Mapimí,15,2
Maravatío,15,2
Maravilla Tenejapa,15,2
Marcos Castellanos,15,2
Mariano Escobedo,15,2
Mariscala de Juárez,15,2
Marquelia,15,2
Marqués de Comillas,15,2
Martínez de la Torre,15,2
Marín,15,2
Mascota,15,2
Matachí,15,2
Matamoros,45,2
Matehuala,15,2
Matlapa,15,2
Matías Romero Avendaño,15,2
Maxcanú,15,2
Mayapán,15,2
Mazamitla,15,2
Mazapa de Madero,15,2
Mazapil,15,2
Mazapiltepec de Juárez,15,2
Mazatecochco de José María Morelos,15,2
Mazatepec,15,2
Mazatlán Villa de Flores,15,2
Mazatlán,15,2
Mazatán,30,2
Mecatlán,15,2
Mecayapan,15,2
Medellín de Bravo,15,2
Melchor Ocampo,45,2
Meoqui,15,2
Mesones Hidalgo,15,2
Metapa,15,2
Metepec,30,2
Metlatónoc,15,2
Metztitlán,15,2
Mexicali,15,2
Mexicaltzingo,15,2
Mexquitic de Carmona,15,2
Mexticacán,15,2
Mezcalapa,15,2
Mezquital del Oro,15,2
Mezquital,15,2
Mezquitic,15,2
Miacatlán,15,2
Miahuatlán de Porfirio Díaz,15,2
Miahuatlán,15,2
Mier y Noriega,15,2
Mier,15,2
Miguel Alemán,15,2
Miguel Auza,15,2
Miguel Hidalgo,15,2
Milpa Alta,15,2
Mina,15,2
Minatitlán,30,2
Mineral de la Reforma,15,2
Mineral del Chico,15,2
Mineral del Monte,15,2
Miquihuana,15,2
Misantla,15,2
Mitontic,15,2
Mixistlán de la Reforma,15,2
Mixquiahuala de Juárez,15,2
Mixtla de Altamirano,15,2
Mixtla,15,2
Mixtlán,15,2
Mochitlán,15,2
Mocochá,15,2
Mocorito,15,2
Moctezuma,30,2
Molango de Escamilla,15,2
Molcaxac,15,2
Moloacán,15,2
Momax,15,2
Monclova,15,2
Monjas,15,2
Monte Escobedo,15,2
Montecristo de Guerrero,15,2
Montemorelos,15,2
Monterrey,15,2
Morelia,15,2
Morelos,75,2
Moris,15,2
Moroleón,15,2
Motozintla,15,2
Motul,15,2
Moyahua de Estrada,15,2
Mulegé,15,2
Muna,15,2
Muxupip,15,2
Muñoz de Domingo Arenas,15,2
Mártir de Cuilapan,15,2
Mártires de Tacubaya,15,2
Méndez,15,2
Mérida,15,2
Múgica,15,2
Múzquiz,15,2
Nacajuca,15,2
Naco,15,2
Nacozari de García,15,2
Nadadores,15,2
Nahuatzen,15,2
Namiquipa,15,2
Nanacamilpa de Mariano Arista,15,2
Nanchital de Lázaro Cárdenas del Río,15,2
Naolinco,15,2
Naranjal,15,2
Naranjos Amatlán,15,2
Natividad,15,2
Natívitas,15,2
Naucalpan de Juárez,15,2
Naupan,15,2
Nautla,15,2
Nauzontla,15,2
Nava,15,2
Navojoa,15,2
Navolato,15,2
Nazareno Etla,15,2
Nazas,15,2
Nealtican,15,2
Nejapa de Madero,15,2
Nextlalpan,15,2
Nezahualcóyotl,15,2
Nicolás Bravo,15,2
Nicolás Flores,15,2
Nicolás Romero,15,2
Nicolás Ruíz,15,2
Nochistlán de Mejía,15,2
Nocupétaro,15,2
Nogales,30,2
Nombre de Dios,15,2
Nonoava,15,2
Nopala de Villagrán,15,2
Nopaltepec,15,2
Nopalucan,15,2
Noria de Ángeles,15,2
Nuevo Casas Grandes,15,2
Nuevo Ideal,15,2
Nuevo Laredo,15,2
Nuevo Morelos,15,2
Nuevo Parangaricutiro,15,2
Nuevo Urecho,15,2
Nuevo Zoquiápam,15,2
Numarán,15,2
Nácori Chico,15,2
Oaxaca de Juárez,15,2
Ocampo,90,2
Ocosingo,15,2
Ocotepec,30,2
Ocotlán de Morelos,15,2
Ocotlán,15,2
Ocoyoacac,15,2
Ocoyucan,15,2
Ocozocoautla de Espinosa,15,2
Ocuilan,15,2
Ocuituco,15,2
Ojinaga,15,2
Ojocaliente,15,2
Ojuelos de Jalisco,15,2
Olinalá,15,2
Olintla,15,2
Oluta,15,2
